period,interval,wfa_idx,train_file,train_candles,train_start,train_end,oos_file,oos_candles,oos_start,oos_end
2018,5m,1,BTCUSDT_5m_2018_WFA01_TRAIN.csv,16128,2017-12-31,2018-02-27,BTCUSDT_5m_2018_WFA01_OOS.csv,6048,2018-02-27,2018-03-20
2018,5m,2,BTCUSDT_5m_2018_WFA02_TRAIN.csv,16128,2018-03-20,2018-05-15,BTCUSDT_5m_2018_WFA02_OOS.csv,6048,2018-05-15,2018-06-05
2018,5m,3,BTCUSDT_5m_2018_WFA03_TRAIN.csv,16128,2018-06-05,2018-07-31,BTCUSDT_5m_2018_WFA03_OOS.csv,6048,2018-07-31,2018-08-21
2018,5m,4,BTCUSDT_5m_2018_WFA04_TRAIN.csv,16128,2018-08-21,2018-10-16,BTCUSDT_5m_2018_WFA04_OOS.csv,6048,2018-10-16,2018-11-07
2020,5m,1,BTCUSDT_5m_2020_WFA01_TRAIN.csv,16128,2020-01-31,2020-03-27,BTCUSDT_5m_2020_WFA01_OOS.csv,6048,2020-03-27,2020-04-17
bull,5m,1,BTCUSDT_5m_bull_WFA01_TRAIN.csv,16128,2020-04-30,2020-06-25,BTCUSDT_5m_bull_WFA01_OOS.csv,6048,2020-06-25,2020-07-16
bull,5m,2,BTCUSDT_5m_bull_WFA02_TRAIN.csv,16128,2020-07-16,2020-09-10,BTCUSDT_5m_bull_WFA02_OOS.csv,6048,2020-09-10,2020-10-01
bull,5m,3,BTCUSDT_5m_bull_WFA03_TRAIN.csv,16128,2020-10-01,2020-11-26,BTCUSDT_5m_bull_WFA03_OOS.csv,6048,2020-11-26,2020-12-17
bull,5m,4,BTCUSDT_5m_bull_WFA04_TRAIN.csv,16128,2020-12-17,2021-02-12,BTCUSDT_5m_bull_WFA04_OOS.csv,6048,2021-02-12,2021-03-05
2022,5m,1,BTCUSDT_5m_2022_WFA01_TRAIN.csv,16128,2022-03-31,2022-05-26,BTCUSDT_5m_2022_WFA01_OOS.csv,6048,2022-05-26,2022-06-16
2022,5m,2,BTCUSDT_5m_2022_WFA02_TRAIN.csv,16128,2022-06-16,2022-08-11,BTCUSDT_5m_2022_WFA02_OOS.csv,6048,2022-08-11,2022-09-01
2022,5m,3,BTCUSDT_5m_2022_WFA03_TRAIN.csv,16128,2022-09-01,2022-10-27,BTCUSDT_5m_2022_WFA03_OOS.csv,6048,2022-10-27,2022-11-17
24,5m,1,BTCUSDT_5m_24_WFA01_TRAIN.csv,16128,2023-09-30,2023-11-25,BTCUSDT_5m_24_WFA01_OOS.csv,6048,2023-11-25,2023-12-16
24,5m,2,BTCUSDT_5m_24_WFA02_TRAIN.csv,16128,2023-12-16,2024-02-10,BTCUSDT_5m_24_WFA02_OOS.csv,6048,2024-02-10,2024-03-02
post,5m,1,BTCUSDT_5m_post_WFA01_TRAIN.csv,16128,2024-03-31,2024-05-26,BTCUSDT_5m_post_WFA01_OOS.csv,6048,2024-05-26,2024-06-16
post,5m,2,BTCUSDT_5m_post_WFA02_TRAIN.csv,16128,2024-06-16,2024-08-11,BTCUSDT_5m_post_WFA02_OOS.csv,6048,2024-08-11,2024-09-01
2018,15m,1,BTCUSDT_15m_2018_WFA01_TRAIN.csv,4032,2017-12-31,2018-02-13,BTCUSDT_15m_2018_WFA01_OOS.csv,1344,2018-02-13,2018-02-27
